BOR;AN;FI;FI_EJ;INTMED;INTPHA;INTODO;INTGEN;FFI;INTTOT
Q22;2014;540014073;540000056;25;1;;;;26
Q22;2014;540014149;540000122;1;;;;;1
Q22;2014;540020146;540006707;;;;3;0;3
Q22;2014;540023256;540020963;1;;;;;1
Q22;2014;550000012;550006795;29;1;;;3;33
Q22;2014;550000038;550000046;;;;2;;2
Q22;2014;550000434;550003354;12;1;;;7;20
Q22;2014;550003362;550006795;5;0;0;0;0;5
Q22;2014;560000127;560023210;38;1;;21;1;61
Q22;2014;560000135;560005746;33;1;;24;1;59
Q22;2014;560000143;560014748;9;;;;2;11
Q22;2014;560000192;560000044;0;1;;10;;11
Q22;2014;560000200;560023210;;;;4;;4
Q22;2014;560000382;560002032;10;;;;1;11
Q22;2014;560000697;560002677;2;;;;;2
Q22;2014;560002024;560006074;2;;;;;2
Q22;2014;560008799;560013989;2;;;;;2
Q22;2014;560010092;560002032;10;;;;1;11
Q22;2014;570000059;570025254;17;0;0;0;1;18
Q22;2014;570000117;570015099;;;;9;3;12
Q22;2014;570000216;570010173;1;1;;3;;5
Q22;2014;570000281;570005165;;;;3;1;4
Q22;2014;570000349;570005165;34;1;1;25;14;75
Q22;2014;570000448;750050759;;;;1;;1
