BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFNS;EFFPL_INFNS;EFFPA_INFNS;ETP_INFSP;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPA_APNM;EFFPL_APNM;ETP_APNM
REA;2014;850000142;850000019;REAADU;18;6506;987;1017;58;4754;5;42;112;3;9;8.16;;2;57.41;;86;1.2;;47;25.88;;;;13;;5.73
REA;2014;850000142;850000019;SITOT;16;5840;1354;;;5254;;;;;;;;;;;;;;;;;;;;;
REA;2014;850000142;850000019;SURVADU;29;10525;1485;;;8633;;;;;35;3.63;;7;40.61;;173;1.66;;133;36.47;;;;35;;7.2
REA;2014;850000142;850000019;USIC;16;5840;1354;;;5254;;;;;11;3.26;;2;25.41;;58;0.5;;41;17.32;;;;7;;1.64
REA;2014;850000175;850009010;SURVADU;10;3650;757;;;2679;;;;8;1;1.69;1;;13.51;7;10;0.28;6;8;9.7;;;;;;
REA;2014;850000241;850000084;SURVADU;6;2190;416;;;1755;;;;;;;6;2;;;;6.79;2;1;2.14;;;;;;
REA;2014;850009630;850000035;SURVADU;10;1940;503;;;2583;;;;2;;1.47;1;;11.07;4;8;0.26;4;2;3.77;;;;2;;1.62
REA;2014;860000025;860013382;SURVADU;8;2920;692;;;2210;;;;9;3;3.03;;;12.73;8;7;;6;;6.01;;;;3;1;3.35
REA;2014;860000033;860013382;SURVADU;3;1095;262;;;1026;;;;;1;0.25;1;;4.32;4;1;1;;;;;;;;;
REA;2014;860000058;860780097;SURVADU;3;1095;408;;;966;;;;2;;1;1;;7.75;6;2;0.5;3;1;3.75;;;;;;
REA;2014;860000223;860013077;AUTSI;20;7300;620;;;5237;;;;2;;2;;;;;;;;;;;;;;;
REA;2014;860000223;860013077;REAADU;57;20805;2662;2863;252;17404;29;25;236;11;;9.1;4;;107.13;101;19;3.5;78;12;78.71;2;1;2.5;6;13;14.86
REA;2014;860000223;860013077;REAENF;3;1095;200;206;19;1105;37;;;1;;1;1;1;35.59;28;11;7.65;5;1;5.74;1;;0.75;;;
REA;2014;860000223;860013077;SITOT;43;15695;2514;;;11301;;;;;;;;;;;;;;;;;;;;;
REA;2014;860000223;860013077;SIUNV;8;2920;683;;;2724;;;;3;;1.6;;;6.44;;;;;;7.26;2;;0.5;;;0.61
